"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 24 10:29:07 CEST 2024","Fri May 24 10:29:07 CEST 2024","173"," Dragan Suite","Dragan test","android.RestTest2","android.RestTest2","GetBookDetailsNo23","GetBookDetailsNo23",""
"passed","Fri May 24 10:29:06 CEST 2024","Fri May 24 10:29:06 CEST 2024","196"," Dragan Suite","C_Tests Three","android.RestTest","android.RestTest","GetBookDetailsNo2","GetBookDetailsNo2",""
"passed","Fri May 24 08:29:36 CEST 2024","Fri May 24 08:29:55 CEST 2024","18980"," Dragan Suite","A_Tests One","android.BlazeLoginTest","android.BlazeLoginTest","test_Login_And_Verify","test_Login_And_Verify",""
"passed","Fri May 24 08:30:13 CEST 2024","Fri May 24 08:30:26 CEST 2024","12778"," Dragan Suite","A_Tests One","android.BlazeLoginTest","android.BlazeLoginTest","test_Alert","test_Alert",""
"passed","Fri May 24 10:29:03 CEST 2024","Fri May 24 10:29:06 CEST 2024","2913"," Dragan Suite","C_Tests Three","android.RestTest","android.RestTest","GetBookDetails","GetBookDetails",""
"passed","Fri May 24 08:29:55 CEST 2024","Fri May 24 08:30:13 CEST 2024","18357"," Dragan Suite","A_Tests One","android.BlazeLoginTest","android.BlazeLoginTest","test_Login_And_Verify_About_Us","test_Login_And_Verify_About_Us",""
"passed","Fri May 24 10:29:06 CEST 2024","Fri May 24 10:29:07 CEST 2024","167"," Dragan Suite","Dragan test","android.RestTest2","android.RestTest2","GetBookDetailsNo2","GetBookDetailsNo2",""
"passed","Fri May 24 08:30:26 CEST 2024","Fri May 24 10:29:03 CEST 2024","7116833"," Dragan Suite","B_Tests Two","android.BlazeFindAndPurchaseTest","android.BlazeFindAndPurchaseTest","test_Find_Purchase","test_Find_Purchase",""
"passed","Fri May 24 10:29:06 CEST 2024","Fri May 24 10:29:06 CEST 2024","171"," Dragan Suite","C_Tests Three","android.RestTest","android.RestTest","GetBookDetailsNo23","GetBookDetailsNo23",""
"broken","Wed May 08 00:47:39 CEST 2024","Wed May 08 00:47:39 CEST 2024","35","Default suite","Default test","android.BlazeLoginTestheadless","android.BlazeLoginTestheadless","test_Login_And_Verify","test_Login_And_Verify",""
"passed","Fri May 24 10:29:06 CEST 2024","Fri May 24 10:29:06 CEST 2024","176"," Dragan Suite","Dragan test","android.RestTest2","android.RestTest2","GetBookDetails","GetBookDetails",""
